candidateId,gate,passed,observed,operator,required
v27-range_expansion_close_followthrough-4h-long-v1,maximumSingleInstrumentPositiveContribution,true,0.14813920955945628,<=,0.45
v27-range_expansion_close_followthrough-4h-long-v1,maximumSingleMonthPositiveContribution,true,0.05814942664270752,<=,0.35
v27-range_expansion_close_followthrough-4h-long-v1,minimumAverageNetR,true,0.02057377703882046,>,0.0
v27-range_expansion_close_followthrough-4h-long-v1,minimumBenchmarkIncrementNetR,false,-809.7770454507423,>,0.0
v27-range_expansion_close_followthrough-4h-long-v1,minimumEvents,true,3155,>=,30
v27-range_expansion_close_followthrough-4h-long-v1,minimumPositiveMonthRatio,true,0.5757575757575758,>=,0.5
v27-range_expansion_close_followthrough-4h-long-v1,minimumProfitFactor,true,1.0356412767851284,>,1.03
v27-range_expansion_close_followthrough-4h-long-v1,minimumStressAverageNetR,true,0.0011036648942332262,>,0.0
v27-range_expansion_close_followthrough-4h-long-v1,minimumStressProfitFactor,true,1.001875914986592,>=,1.0
v27-range_expansion_close_followthrough-4h-long-v1,minimumTotalNetR,true,64.91026655747855,>,0.0
v27-opening_range_failure_reversal-1h-long-v1,maximumSingleInstrumentPositiveContribution,true,0.13539487218865753,<=,0.45
v27-opening_range_failure_reversal-1h-long-v1,maximumSingleMonthPositiveContribution,true,0.03874051267445643,<=,0.35
v27-opening_range_failure_reversal-1h-long-v1,minimumAverageNetR,false,-0.10052878476793602,>,0.0
v27-opening_range_failure_reversal-1h-long-v1,minimumBenchmarkIncrementNetR,false,-566.5883770877946,>,0.0
v27-opening_range_failure_reversal-1h-long-v1,minimumEvents,true,11990,>=,30
v27-opening_range_failure_reversal-1h-long-v1,minimumPositiveMonthRatio,false,0.36363636363636365,>=,0.5
v27-opening_range_failure_reversal-1h-long-v1,minimumProfitFactor,false,0.8449157009339068,>,1.03
v27-opening_range_failure_reversal-1h-long-v1,minimumStressAverageNetR,false,-0.14101456927806666,>,0.0
v27-opening_range_failure_reversal-1h-long-v1,minimumStressProfitFactor,false,0.7904543559693067,>=,1.0
v27-opening_range_failure_reversal-1h-long-v1,minimumTotalNetR,false,-1205.340129367553,>,0.0
v27-opening_range_failure_reversal-1h-short-v2,maximumSingleInstrumentPositiveContribution,true,0.1429761750002496,<=,0.45
v27-opening_range_failure_reversal-1h-short-v2,maximumSingleMonthPositiveContribution,true,0.039552338508721065,<=,0.35
v27-opening_range_failure_reversal-1h-short-v2,minimumAverageNetR,false,-0.06941348666989418,>,0.0
v27-opening_range_failure_reversal-1h-short-v2,minimumBenchmarkIncrementNetR,true,1975.7700591299354,>,0.0
v27-opening_range_failure_reversal-1h-short-v2,minimumEvents,true,13448,>=,30
v27-opening_range_failure_reversal-1h-short-v2,minimumPositiveMonthRatio,false,0.2727272727272727,>=,0.5
v27-opening_range_failure_reversal-1h-short-v2,minimumProfitFactor,false,0.8912863873998372,>,1.03
v27-opening_range_failure_reversal-1h-short-v2,minimumStressAverageNetR,false,-0.11148557355871776,>,0.0
v27-opening_range_failure_reversal-1h-short-v2,minimumStressProfitFactor,false,0.8318931939519392,>=,1.0
v27-opening_range_failure_reversal-1h-short-v2,minimumTotalNetR,false,-933.4725687367369,>,0.0
